Year; Proportion of swallows perched; Perching probability x 1000
0; 0; 0
0; 0.0; 2.0
1; 0.0; 2.13666666667
2; 0.0; 2.27333333333
3; 0.0; 2.41
4; 0.0; 2.54666666667
5; 0.0; 2.68333333333
6; 0.0; 2.82
7; 1.0; 2.95666666667
8; 1.0; 3.09333333333
9; 0.0; 3.23
10; 0.0; 3.36666666667
11; 0.0; 3.50333333333
12; 0.0; 3.64
13; 0.0; 3.77666666667
14; 0.0; 3.91333333333
15; 1.0; 4.05
16; 3.0; 4.18666666667
17; 3.0; 4.32333333333
18; 2.0; 4.46
19; 0.0; 4.59666666667
20; 1.0; 4.73333333333
21; 1.0; 4.87
22; 0.0; 5.00666666667
23; 2.0; 5.14333333333
24; 2.0; 5.28
25; 1.0; 5.41666666667
26; 1.0; 5.55333333333
27; 1.0; 5.69
28; 2.0; 5.82666666667
29; 2.0; 5.96333333333
30; 1.0; 6.1
31; 2.0; 6.23666666667
32; 1.0; 6.37333333333
33; 1.0; 6.51
34; 0.0; 6.64666666667
35; 0.0; 6.78333333333
36; 1.0; 6.92
37; 1.0; 7.05666666667
38; 1.0; 7.19333333333
39; 1.0; 7.33
40; 1.0; 7.46666666667
41; 1.0; 7.60333333333
42; 0.0; 7.74
43; 0.0; 7.87666666667
44; 0.0; 8.01333333333
45; 1.0; 8.15
46; 1.0; 8.28666666667
47; 1.0; 8.42333333333
48; 1.0; 8.56
49; 3.0; 8.69666666667
50; 2.0; 8.83333333333
51; 2.0; 8.97
52; 1.0; 9.10666666667
53; 1.0; 9.24333333333
54; 0.0; 9.38
55; 2.0; 9.51666666667
56; 2.0; 9.65333333333
57; 1.0; 9.79
58; 0.0; 9.92666666667
59; 2.0; 10.0633333333
60; 3.0; 10.2
61; 1.0; 10.3366666667
62; 2.0; 10.4733333333
63; 3.0; 10.61
64; 4.0; 10.7466666667
65; 3.0; 10.8833333333
66; 1.0; 11.02
67; 4.0; 11.1566666667
68; 5.0; 11.2933333333
69; 2.0; 11.43
70; 3.0; 11.5666666667
71; 4.0; 11.7033333333
72; 3.0; 11.84
73; 3.0; 11.9766666667
74; 2.0; 12.1133333333
75; 2.0; 12.25
76; 4.0; 12.3866666667
77; 5.0; 12.5233333333
78; 3.0; 12.66
79; 2.0; 12.7966666667
80; 2.0; 12.9333333333
81; 4.0; 13.07
82; 3.0; 13.2066666667
83; 2.0; 13.3433333333
84; 3.0; 13.48
85; 2.0; 13.6166666667
86; 1.0; 13.7533333333
87; 1.0; 13.89
88; 1.0; 14.0266666667
89; 2.0; 14.1633333333
90; 3.0; 14.3
91; 5.0; 14.4366666667
92; 4.0; 14.5733333333
93; 4.0; 14.71
94; 2.0; 14.8466666667
95; 3.0; 14.9833333333
96; 4.0; 15.12
97; 2.0; 15.2566666667
98; 1.0; 15.3933333333
99; 1.0; 15.53
100; 3.0; 15.6666666667
101; 3.0; 15.8033333333
102; 2.0; 15.94
103; 4.0; 16.0766666667
104; 4.0; 16.2133333333
105; 4.0; 16.35
106; 4.0; 16.4866666667
107; 3.0; 16.6233333333
108; 3.0; 16.76
109; 3.0; 16.8966666667
110; 2.0; 17.0333333333
111; 0.0; 17.17
112; 1.0; 17.3066666667
113; 1.0; 17.4433333333
114; 0.0; 17.58
115; 2.0; 17.7166666667
116; 2.0; 17.8533333333
117; 2.0; 17.99
118; 3.0; 18.1266666667
119; 2.0; 18.2633333333
120; 1.0; 18.4
121; 1.0; 18.5366666667
122; 1.0; 18.6733333333
123; 1.0; 18.81
124; 1.0; 18.9466666667
125; 1.0; 19.0833333333
126; 4.0; 19.22
127; 4.0; 19.3566666667
128; 1.0; 19.4933333333
129; 2.0; 19.63
130; 2.0; 19.7666666667
131; 1.0; 19.9033333333
132; 2.0; 20.04
133; 2.0; 20.1766666667
134; 0.0; 20.3133333333
