Year; grey; black; Reproduction; blue; chh_th
0; 0; 0; 0; 0; 0
0; 0; 0; 49; 50; 0
50; 22; 39; 49; 50; 0
100; 7; 39; 49; 50; 0
150; 27; 40; 49; 51; 0
200; 33; 40; 49; 51; 5
250; 25; 39; 49; 51; 0
300; 21; 39; 48; 51; 5
350; 17; 40; 48; 51; 20
400; 35; 40; 48; 52; 25
450; 33; 40; 47; 52; 15
500; 19; 39; 47; 52; 15
550; 25; 39; 47; 53; 10
600; 25; 40; 48; 53; 15
650; 37; 40; 47; 53; 0
700; 31; 40; 46; 53; 5
750; 37; 39; 47; 53; 20
800; 15; 39; 47; 54; 0
850; 25; 40; 47; 54; 15
900; 19; 40; 47; 54; 0
950; 31; 40; 47; 55; 10
1000; 54; 40; 46; 55; 20
1050; 33; 40; 45; 55; 25
1100; 35; 40; 46; 56; 10
1150; 37; 40; 45; 57; 5
1200; 29; 40; 45; 57; 10
1250; 45; 40; 45; 57; 25
1300; 29; 40; 45; 57; 25
1350; 25; 39; 44; 57; 25
1400; 37; 40; 43; 56; 25
1450; 23; 39; 43; 55; 25
1500; 35; 40; 43; 56; 35
1550; 37; 40; 43; 56; 30
1600; 25; 39; 42; 55; 25
1650; 31; 40; 43; 56; 25
1700; 49; 40; 43; 56; 25
1750; 33; 40; 42; 56; 20
1800; 29; 40; 42; 57; 35
1850; 50; 40; 41; 58; 35
1900; 41; 40; 41; 58; 40
1950; 21; 40; 42; 58; 40
2000; 45; 40; 41; 59; 45
2050; 29; 40; 42; 59; 45
2100; 33; 40; 42; 59; 40
2150; 49; 40; 41; 59; 35
2200; 52; 40; 40; 60; 35
2250; 47; 40; 40; 59; 40
2300; 39; 40; 39; 59; 40
2350; 47; 40; 39; 59; 40
2400; 52; 40; 39; 60; 40
2450; 50; 40; 39; 60; 30
2500; 41; 40; 39; 61; 20
2550; 49; 40; 39; 61; 35
2600; 62; 40; 38; 62; 20
2650; 41; 40; 38; 62; 25
2700; 64; 40; 37; 64; 15
2750; 58; 39; 37; 64; 15
2800; 52; 40; 37; 65; 35
2850; 45; 40; 37; 65; 35
2900; 45; 40; 37; 66; 35
2950; 23; 40; 37; 66; 30
3000; 41; 40; 37; 66; 25
3050; 43; 40; 37; 66; 25
3100; 37; 40; 36; 66; 25
3150; 35; 40; 37; 66; 25
3200; 56; 40; 37; 67; 30
3250; 19; 40; 37; 67; 25
3300; 49; 40; 37; 67; 25
3350; 49; 40; 37; 66; 25
3400; 62; 40; 37; 66; 30
3450; 58; 40; 36; 67; 30
3500; 45; 40; 36; 67; 30
3550; 37; 40; 36; 68; 25
3600; 45; 40; 35; 68; 20
3650; 39; 40; 35; 67; 20
3700; 68; 40; 35; 68; 20
3750; 37; 40; 34; 68; 25
3800; 47; 40; 33; 68; 20
3850; 35; 40; 33; 67; 20
3900; 52; 40; 34; 68; 20
3950; 45; 40; 34; 68; 20
4000; 47; 40; 34; 68; 20
4050; 52; 40; 34; 68; 20
4100; 49; 40; 34; 69; 20
4150; 56; 40; 35; 69; 20
4200; 52; 40; 35; 70; 20
4250; 60; 40; 35; 70; 20
4300; 49; 40; 34; 70; 20
4350; 70; 40; 35; 70; 20
4400; 52; 40; 36; 70; 20
4450; 37; 40; 36; 70; 20
4500; 49; 40; 36; 71; 20
4550; 41; 40; 36; 70; 20
4600; 56; 40; 35; 69; 20
4650; 45; 40; 35; 69; 20
4700; 54; 40; 35; 69; 20
4750; 70; 40; 34; 70; 20
4800; 45; 40; 35; 71; 20
4850; 49; 40; 34; 71; 20
4900; 58; 40; 34; 71; 20
4950; 49; 40; 34; 71; 20
5000; 35; 40; 34; 71; 20
5050; 41; 40; 34; 71; 20
5100; 52; 40; 33; 71; 20
5150; 45; 40; 33; 71; 20
5200; 80; 40; 33; 71; 20
5250; 39; 40; 33; 71; 20
5300; 50; 40; 34; 71; 20
