Year; Reproduction; PopSize; chh_th; bty_th; ProbaMeet
0; 0; 0; 0; 0; 0
0; 0; 0; 49; 50; 0
50; 16; 40; 49; 50; 10
100; 17; 40; 49; 51; 15
150; 13; 39; 48; 51; 5
200; 15; 40; 48; 51; 5
250; 13; 39; 48; 51; 0
300; 15; 40; 47; 51; 0
350; 33; 40; 47; 52; 0
400; 11; 39; 47; 52; 0
450; 37; 40; 47; 53; 0
500; 25; 40; 47; 54; 0
550; 31; 40; 47; 53; 0
600; 17; 39; 47; 53; 0
650; 43; 40; 46; 52; 10
700; 21; 40; 47; 52; 0
750; 39; 40; 46; 52; 0
800; 41; 39; 45; 52; 0
850; 35; 40; 45; 52; 0
900; 49; 40; 44; 53; 0
950; 39; 40; 43; 52; 0
1000; 35; 40; 43; 53; 0
1050; 31; 40; 42; 53; 0
1100; 29; 40; 42; 52; 0
1150; 23; 40; 42; 53; 0
1200; 33; 40; 42; 52; 0
1250; 25; 39; 42; 52; 5
1300; 33; 40; 42; 52; 0
1350; 23; 40; 41; 53; 5
1400; 29; 40; 41; 53; 10
1450; 33; 40; 41; 53; 5
1500; 29; 40; 41; 53; 5
1550; 37; 40; 41; 53; 15
1600; 33; 40; 41; 52; 15
1650; 23; 40; 41; 52; 15
1700; 27; 40; 41; 52; 15
1750; 33; 40; 40; 52; 15
1800; 47; 40; 40; 52; 15
1850; 29; 40; 39; 52; 10
1900; 33; 40; 38; 51; 15
1950; 35; 40; 38; 52; 10
2000; 31; 40; 38; 52; 15
2050; 27; 39; 39; 52; 15
2100; 54; 40; 38; 52; 20
2150; 43; 40; 38; 52; 30
2200; 31; 40; 38; 52; 25
2250; 45; 40; 39; 52; 25
2300; 35; 40; 38; 52; 25
2350; 41; 40; 39; 52; 25
2400; 25; 40; 38; 52; 25
2450; 21; 40; 38; 52; 20
2500; 19; 40; 37; 52; 30
2550; 27; 40; 37; 52; 20
2600; 39; 40; 37; 52; 20
2650; 43; 40; 38; 52; 20
2700; 31; 40; 38; 52; 15
2750; 39; 40; 38; 51; 20
2800; 35; 40; 38; 51; 20
2850; 47; 40; 36; 52; 5
2900; 39; 40; 36; 51; 20
2950; 31; 40; 36; 52; 20
3000; 35; 40; 35; 51; 20
3050; 41; 40; 35; 52; 20
3100; 49; 40; 35; 53; 20
3150; 31; 40; 35; 53; 20
3200; 31; 40; 35; 54; 20
3250; 29; 40; 34; 55; 20
3300; 60; 40; 35; 55; 25
3350; 50; 40; 34; 55; 20
3400; 17; 40; 34; 55; 20
3450; 47; 40; 34; 55; 20
3500; 45; 40; 34; 55; 20
3550; 33; 40; 34; 55; 20
3600; 45; 40; 34; 54; 20
3650; 33; 40; 34; 54; 20
3700; 39; 40; 33; 54; 20
3750; 49; 40; 34; 54; 20
3800; 43; 40; 34; 54; 20
3850; 25; 40; 34; 54; 20
3900; 33; 40; 33; 55; 20
3950; 33; 40; 34; 55; 20
4000; 23; 40; 34; 55; 20
4050; 33; 40; 34; 55; 20
4100; 49; 40; 34; 55; 20
4150; 45; 40; 34; 55; 20
4200; 41; 40; 34; 55; 20
4250; 45; 40; 35; 54; 20
4300; 41; 40; 35; 54; 20
4350; 39; 40; 34; 54; 20
4400; 47; 40; 34; 54; 20
4450; 31; 40; 34; 54; 20
4500; 43; 40; 34; 54; 20
4550; 41; 40; 35; 55; 20
4600; 52; 40; 35; 55; 20
4650; 39; 40; 35; 55; 20
4700; 35; 40; 35; 55; 35
4750; 35; 40; 35; 54; 35
4800; 52; 40; 34; 55; 30
4850; 50; 40; 34; 54; 30
4900; 35; 40; 33; 54; 40
4950; 54; 40; 33; 54; 40
5000; 50; 40; 33; 54; 40
5050; 52; 40; 33; 54; 35
5100; 29; 40; 32; 55; 40
5150; 47; 40; 32; 55; 40
5200; 66; 40; 32; 54; 35
5250; 29; 40; 32; 55; 35
